
18-25,15,A,4+,0,5,8797
18-25,15,A,4+,0,3,10681
18-25,15,A,4+,0,8,7801
18-25,15,A,4+,0,1,15517
18-25,15,A,4+,0,1,12098
18-25,15,A,4+,0,5,6976
18-25,15,A,4+,0,5,5384
18-25,15,A,4+,0,5,6973
18-25,15,A,4+,0,5,5168
18-25,15,A,4+,0,5,3449
18-25,15,A,4+,0,5,7177
18-25,15,A,4+,0,11,4570
18-25,15,A,4+,0,2,9564
36-45,0,B,3,1,1,15766
36-45,0,B,3,1,6,8481
36-45,0,B,3,1,11,6108
36-45,0,B,3,1,1,15354
36-45,0,B,3,1,1,12015
36-45,0,B,3,1,1,15371
36-45,0,B,3,1,1,19239
36-45,0,B,3,1,2,16137
36-45,0,B,3,1,1,11887
36-45,0,B,3,1,5,5183
36-45,0,B,3,1,13,584
36-45,0,B,3,1,1,7601
26-35,7,A,3,1,8,2230
26-35,7,A,3,1,5,6940
26-35,7,A,3,1,1,15774
18-25,4,C,4+,0,1,15361
18-25,4,C,4+,0,1,15770
18-25,4,C,4+,0,1,18974
26-35,7,B,2,1,5,1848
26-35,7,B,2,1,5,3624
26-35,7,B,2,1,5,5275
26-35,7,B,2,1,5,5356
26-35,7,B,2,1,5,5411
26-35,7,B,2,1,2,9734
26-35,7,B,2,1,8,7814
26-35,7,B,2,1,8,6098
26-35,7,B,2,1,5,5195
26-35,7,B,2,1,5,5220
26-35,7,B,2,1,6,16093
26-35,7,B,2,1,5,3702
26-35,11,C,1,1,5,8696
26-35,11,C,1,1,1,7730
26-35,11,C,1,1,8,9836
26-35,11,C,1,1,2,16500
26-35,11,C,1,1,2,15903
26-35,1,C,2,1,13,758
26-35,1,C,2,1,5,6904
26-35,1,C,2,1,5,8690
26-35,1,C,2,1,5,8624
26-35,1,C,2,1,8,3904
36-45,7,C,1,0,1,19068
36-45,7,C,1,0,1,7963
36-45,7,C,1,0,1,15511
36-45,7,C,1,0,1,11859
36-45,7,C,3,0,8,9735
36-45,7,C,3,0,8,4166
36-45,7,C,3,0,5,6927
55+,7,C,2,0,5,8596
55+,7,C,2,0,5,5248
55+,7,C,2,0,3,10592
55+,7,C,2,0,5,3482
26-35,0,C,3,1,5,7134
46-50,3,A,1,1,8,7854
46-50,3,A,1,1,15,17391
46-50,3,A,1,1,8,6074
46-50,3,A,1,1,8,6119
46-50,3,A,1,1,1,15333
46-50,3,A,1,1,8,6129
46-50,3,A,1,1,5,5265
46-50,3,A,1,1,8,7888
46-50,3,A,1,1,8,4035
46-50,3,A,1,1,5,5280
46-50,3,A,1,1,8,7909
46-50,3,A,1,1,4,811
46-50,3,A,1,1,4,2846
46-50,3,A,1,1,8,7994
46-50,3,A,1,1,8,3897
18-25,0,A,0,0,5,6996
18-25,0,A,0,0,5,8593
18-25,0,A,0,0,5,6917
18-25,0,A,0,0,5,5329
18-25,0,A,0,0,11,5942
18-25,0,A,0,0,2,15895
18-25,0,A,0,0,5,7165
18-25,0,A,0,0,8,9846
18-25,0,A,0,0,5,8701
18-25,0,A,0,0,5,8757
46-50,1,C,4+,1,8,6109
46-50,1,C,4+,1,8,6139
46-50,1,C,4+,1,8,5897
